Name,Title,Source,Published At,Link,Sentiment,Activity,Description,Unnamed: 0,Scheme/Initiative,Description.1,Unnamed: 2,Name ,Initiative,No.
Amit Shah,"Tripura flood situation improves; PM Modi, Home Minister Amit Shah reiterate support for state",,"08/26/2024, 05:36 PM, +0000 UTC",https://indianexpress.com/article/india/tripura-floods-pm-modi-home-minister-amit-shah-reiterate-support-9534531/,positive,Debates on Refugee Policy,"Engaged in parliamentary debates regarding IndiaÂs refugee policy, focusing on balancing humanitarian obligations with national security concerns.",,,,"{'name': 'The Indian Express', 'icon': 'https://lh3.googleusercontent.com/kkBP5GMG7WhGg_OaGvdoYp6jxPdIe5_HE4NLhmd8-80hpps2K2BcHM47_XxnxBo9ub0jbx1ZZQ', 'authors': ['Debraj Deb']}",,,
Amit Shah,West Bengal BJP writes to Amit Shah seeking action on CM BanerjeeÃ¢ÂÂs Ã¢ÂÂrevenge politicsÃ¢ÂÂ,,"08/28/2024, 02:00 PM, +0000 UTC",https://www.edexlive.com/news/2024/Aug/28/west-bengal-bjp-writes-to-amit-shah-seeking-action-on-cm-banerjees-revenge-politics,negative,Promotion of Cooperative Movements,"Supported legislation aimed at strengthening cooperative movements, particularly in rural areas, to promote socio-economic development.",,,,"{'name': 'EdexLive', 'icon': 'https://lh3.googleusercontent.com/Lq7lNSIqB0Hmy5bzhfkKnMWLuo6Lx2MyQgwB5-stcYu1Xpbh_-KFVtVpaUTogx6-jAY-Wo3H0gI'}",,,
Amit Shah,A Profile of Amit Shah,,"05/16/2024, 07:00 AM, +0000 UTC",https://pulitzercenter.org/projects/profile-amit-shah,positive,Debates on Environmental Conservation,"Participated in discussions on environmental conservation laws, emphasizing the need for sustainable development and protection of natural resources.",,,,"{'name': 'Pulitzer Center on Crisis Reporting', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://pulitzercenter.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Atul Dev']}",,,
Amit Shah,Centre approves release of Rs 40 crore as flood relief: Union Home Minister Amit Shah,,"08/23/2024, 02:58 PM, +0000 UTC",https://m.economictimes.com/news/india/centre-approves-release-of-rs-40-crore-as-flood-relief-union-home-minister-amit-shah/articleshow/112745240.cms,positive,Legislation on Counter-Terrorism Financing,"Contributed to drafting and supporting laws aimed at countering the financing of terrorism, including measures to curb money laundering and illegal financial networks.",,,,"{'name': 'The Economic Times', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Bikash Singh']}",,,
Amit Shah,Amit Shah top choice to succeed PM Modi as BJP's prime ministerial candidate: MOTN survey,,"08/22/2024, 04:41 PM, +0000 UTC",https://www.businesstoday.in/india/story/amit-shah-top-choice-to-succeed-pm-modi-as-bjps-prime-ministerial-candidate-motn-survey-442673-2024-08-22,positive,Advocacy for Mental Health Legislation,"Supported legislative measures focused on improving mental health care, including the Mental Healthcare Act, 2017, and subsequent amendments.",,,,"{'name': 'Business Today', 'icon': 'https://lh3.googleusercontent.com/bj4kVNBXXhPMnTj1l3nrI-Hia0ylTCxzt0reKbNeUBjgEnqdbNQJMxrGHd9sQ1NV7wnDRNARRZ8'}",,,
Amit Shah,"Who next after Modi? Amit Shah top choice as successor, reveals survey",,"08/23/2024, 08:21 AM, +0000 UTC",https://www.moneycontrol.com/news/politics/who-next-after-modi-amit-shah-top-choice-as-successor-reveals-survey-12805155.html,positive,Oversight on Cyber Crime Legislation,"Played a significant role in drafting and supporting laws aimed at combating cybercrime, protecting citizensÂ data, and ensuring cybersecurity.",,,,"{'name': 'Moneycontrol', 'icon': 'https://lh3.googleusercontent.com/EhgJfcqc741i6MuCdraj7h6JokSPSRGPEJkf66ZsOSBqDdyD_0iY-yBx_VMGu3t92Mezztp_i0g', 'authors': ['Parimal Peeyush']}",,,
Amit Shah,"India will be free of Left Wing Extremism by March 2026, says Amit Shah",,"08/24/2024, 03:00 PM, +0000 UTC",https://www.thehindu.com/news/national/india-to-be-free-of-naxal-menace-by-2026-time-for-final-assault-amit-shah/article68563001.ece,positive,Legislation on Juvenile Justice,Participated in discussions and supported amendments to the Juvenile Justice (Care and Protection of Children) Act to ensure better protection and rehabilitation of minors.,,,,"{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8', 'authors': ['Shubhomoy Sikdar']}",,,
Amit Shah,"BJP hits out at Congress alliance with NC in J-K, frames it against reservation, nationalism pitch",,"08/23/2024, 03:48 PM, +0000 UTC",https://indianexpress.com/article/political-pulse/jammu-kashmir-congress-national-conference-alliance-bjp-9529827/,positive,Debates on Civil Aviation Policies,"Engaged in parliamentary debates regarding the development of IndiaÂs civil aviation sector, including infrastructure development and regulatory reforms.",,,,"{'name': 'The Indian Express', 'icon': 'https://lh3.googleusercontent.com/kkBP5GMG7WhGg_OaGvdoYp6jxPdIe5_HE4NLhmd8-80hpps2K2BcHM47_XxnxBo9ub0jbx1ZZQ', 'authors': ['Vikas Pathak']}",,,
Amit Shah,"Amit Shah Announces Five New Districts In Ladakh 'In Pursuit Of PM Modi's Vision', Check List Here",,"08/26/2024, 06:49 AM, +0000 UTC",https://swarajyamag.com/news-brief/amit-shah-announces-five-new-districts-in-ladakh-in-pursuit-of-pm-modis-vision-check-list-here,positive,"Introduction of the Jammu and Kashmir Reorganisation (Amendment) Bill, 2021",Facilitated the smooth administration of the Union Territories of Jammu & Kashmir and Ladakh after the abrogation of Article 370.,,,,"{'name': 'Swarajya', 'icon': 'https://lh3.googleusercontent.com/DJ1tfGI5GDm3c6f4wmGLpHd7ggTYWZKHPY7IND5zNOBNnEFLmrGU64j4kBcCS5N8WRdPG6keRtE', 'authors': ['Nishtha Anushree']}",,,
Amit Shah,Ã¢ÂÂFocused on only one paragraphÃ¢ÂÂ: Omar Abdullah to Amit Shah on NC's manifesto for J&K polls,,"08/25/2024, 10:24 AM, +0000 UTC",https://www.hindustantimes.com/india-news/focused-on-only-one-paragraph-omar-abdullah-to-amit-shah-on-ncs-manifesto-for-j-k-polls-101724579134275.html,neutral,Debate on Delimitation in Jammu & Kashmir,Engaged in discussions regarding the delimitation process in Jammu & Kashmir to ensure fair representation in the legislative assembly.,,,,"{'name': 'Hindustan Times', 'icon': 'https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ'}",,,
Amit Shah,'Told Amit Shah I Want To Act In Around 22 Films': Union Minister Suresh Gopi,,"08/21/2024, 03:10 PM, +0000 UTC",https://www.ndtv.com/india-news/union-minister-suresh-gopi-told-amit-shah-i-want-to-act-in-around-22-films-6387450,positive,Advocacy for Anti-Naxal Operations,"Played a key role in formulating and supporting policies aimed at combating Naxalism, including the modernization of police forces in affected areas.",,,,"{'name': 'NDTV', 'icon': 'https://lh3.googleusercontent.com/tdxgqIuMCdYXjnxBEi-22G1al2_n0slQR4vppoxUyB3fupq2sPqxL3okZNKW_QWJrymCWx6k_g'}",,,
Amit Shah,"Responsibility of all to make country narcotics, drug free: Amit Shah",,"08/25/2024, 08:25 AM, +0000 UTC",https://www.business-standard.com/india-news/responsibility-of-all-to-make-country-narcotics-drug-free-amit-shah-124082500231_1.html,neutral,Support for Digital India Initiative,"Contributed to discussions and legislation supporting the Digital India initiative, focusing on expanding digital infrastructure and governance.",,,,"{'name': 'Business Standard', 'icon': 'https://lh3.googleusercontent.com/AT8iZRL6eUcqE6QveDcDvxkWRmUmyT_OzkkVmZ20YRlylJqSMypckPekPjhINXiSTA47GzKicg'}",,,
Amit Shah,Will rid India of Left Wing extremism by 2026: Home minister Amit Shah,,"08/24/2024, 01:44 PM, +0000 UTC",https://timesofindia.indiatimes.com/india/will-rid-india-of-left-wing-extremism-by-2026-home-minister-amit-shah/articleshow/112766300.cms,positive,Discussion on Police Accountability Bill,"Advocated for a bill to enhance police accountability and transparency, ensuring a more citizen-friendly police force.",,,,"{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE'}",,,
Amit Shah,"RSS chief Mohan Bhagwat's security upgraded in line with PM Modi, Amit Shah: What is 'advance security...",,"08/28/2024, 08:15 AM, +0000 UTC",https://www.moneycontrol.com/news/india/rss-chief-mohan-bhagwats-security-upgraded-in-line-with-pm-modi-amit-shah-what-is-advance-security-liasion-cover-12808838.html,positive,Legislation on Data Protection,"Supported the Personal Data Protection Bill, aimed at regulating the collection, storage, and use of personal data by the government and private entities.",,,,"{'name': 'Moneycontrol', 'icon': 'https://lh3.googleusercontent.com/EhgJfcqc741i6MuCdraj7h6JokSPSRGPEJkf66ZsOSBqDdyD_0iY-yBx_VMGu3t92Mezztp_i0g'}",,,
Amit Shah,"Amit Shah announces five new districts in Ladakh: Zanskar, Drass, Sham, Nubra, and Changthang",,"08/26/2024, 06:25 AM, +0000 UTC",https://timesofindia.indiatimes.com/city/jammu/amit-shah-announces-five-new-districts-in-ladakh-zanskar-drass-sham-nubra-and-changthang/articleshow/112797739.cms,positive,Debate on National Counter-Terrorism Centre (NCTC),Participated in discussions regarding the establishment of NCTC to centralize counter-terrorism operations and intelligence gathering.,,,,"{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE'}",,,
Amit Shah,Amit Shah pays tribute to Major Dhyan Chand on National Sports Day,,"08/29/2024, 05:30 AM, +0000 UTC",https://www.lokmattimes.com/hockey/amit-shah-pays-tribute-to-major-dhyan-chand-on-national-sports-day/,positive,"Introduction of the Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2021",Supported amendments to strengthen the legal framework against drug trafficking and substance abuse.,,,,"{'name': 'Lokmat Times', 'icon': 'https://lh3.googleusercontent.com/8qY_Kbg2cT0zT2NJih4RlqSRZ0IGeh6bYJXPBKLedN0hXaMiUwKJgzgh00BYBstC3_VKXWFr'}",,,
Amit Shah,'Such clarity on census delayed for over three years': Congress takes aim at Amit Shah,,"08/25/2024, 04:16 AM, +0000 UTC",https://timesofindia.indiatimes.com/india/such-clarity-on-census-delayed-for-over-three-years-congress-takes-aim-at-amit-shah/articleshow/112775191.cms,positive,Debates on Caste Census,Engaged in discussions on the importance and implications of conducting a caste-based census to address social inequalities.,,,,"{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE'}",,,
Amit Shah,"J-K Assembly Polls: Ã¢ÂÂAmit Shah forced everyone to read our election manifesto, but the sad part isÃ¢ÂÂ¦,Ã¢ÂÂ says Omar Abdullah | Mint",,"08/25/2024, 09:22 AM, +0000 UTC",https://www.livemint.com/politics/news/jk-assembly-polls-amit-shah-forced-everyone-to-read-our-election-manifesto-the-sad-part-is-says-omar-abdullah-11724576422244.html,positive,Advocacy for Electoral Bonds Scheme,Supported the introduction of electoral bonds as a mechanism for funding political parties with the aim of increasing transparency in political funding.,,,,"{'name': 'Mint', 'icon': 'https://lh3.googleusercontent.com/JufTzTMu9l6RFyXEEfl6ZPdS7xjYhoSXVmDHURyphjVSNK2zH8uWdyJKd9gg0YOYUCop4Alylis', 'authors': ['Gulam Jeelani']}",,,
Amit Shah,Time has come to endÃ¢ÂÂ¦ Amit Shah vows to eradicate Ã¢ÂÂnaxalismÃ¢ÂÂ from Ã¢ÂÂface of IndiaÃ¢ÂÂ by 2026,,"08/27/2024, 09:46 AM, +0000 UTC",https://www.tribuneindia.com/videos/time-has-come-to-end-amit-shah-vows-to-eradicate-naxalism-from-face-of-india-by-2026/,positive,Participation in Debates on Farm Laws,Played a role in the parliamentary debates surrounding the introduction and subsequent repeal of the farm laws aimed at reforming agricultural markets.,,,,"{'name': 'The Tribune India', 'icon': 'https://lh3.googleusercontent.com/InthoO-N7kTwYlzIGRKhiyr8hH7YoMFSFzszQZQI8B7wYABI8oebHMGOIogRK1BTiQgCxxn7uGc'}",,,
Amit Shah,Congress alleges Ã¢ÂÂOperation KamalaÃ¢ÂÂ by BJP; accuses Modi and Amit Shah of plotting to destabilize state govt,,"08/26/2024, 03:56 AM, +0000 UTC",https://www.udayavani.com/english-news/congress-alleges-operation-kamala-by-bjp-accuses-modi-and-amit-shah-of-plotting,positive,Support for Coastal Security Initiatives,"Contributed to legislation and policies aimed at enhancing coastal security, particularly in light of threats from terrorism and smuggling.",,,,"{'name': 'Udayavani English', 'icon': 'https://lh3.googleusercontent.com/qUsvECYCVaJnUZTrY_OiBpm5BwGBWqvpDd9AlIi-6fzZsHvP8BV7JC1T-_xeeZUVur81L0oo4w'}",,,
Amit Shah,"Ladakh MP Mohmad Haneefa thanks PM Modi, Amit Shah for creating five new districts in Ladakh",,"08/27/2024, 10:02 PM, +0000 UTC",https://www.aninews.in/news/national/general-news/ladakh-mp-mohmad-haneefa-thanks-pm-modi-amit-shah-for-creating-five-new-districts-in-ladakh20240828033256,neutral,Debate on the Sedition Law,"Participated in discussions on the relevance and application of the sedition law, balancing national security concerns with freedom of speech.",,,,"{'name': 'ANI News', 'icon': 'https://lh3.googleusercontent.com/isQqiT1LNqTgHHmSYcPDlqF4LvBdJyqpdxt3U9fn-yMrtkszc11l2LFqaVbf60OF9rE9CVkC'}",,,
Amit Shah,"Sonam Wangchuk thanks PM Modi, Amit Shah for Ladakh's 5 new districts; reminds Centre of 6th schedule promise | Today News",,"08/26/2024, 04:47 PM, +0000 UTC",https://www.livemint.com/news/india/sonam-wangchuk-thanks-pm-modi-amit-shah-for-ladakhs-5-new-districts-reminds-it-of-6th-schedule-promise-11724688798737.html,positive,Legislation on Anti-Cyber Bullying,"Supported the drafting of laws to protect individuals, especially minors, from cyberbullying and online harassment.",,,,"{'name': 'Mint', 'icon': 'https://lh3.googleusercontent.com/JufTzTMu9l6RFyXEEfl6ZPdS7xjYhoSXVmDHURyphjVSNK2zH8uWdyJKd9gg0YOYUCop4Alylis'}",,,
Amit Shah,New Delhi: Odisha Governor Raghubar Das calls on Union Home Minister Amit Shah #Gallery,,"08/28/2024, 11:02 PM, +0000 UTC",https://www.socialnews.xyz/2024/08/28/new-delhi-odisha-governor-raghubar-das-calls-on-union-home-minister-amit-shah-gallery/,positive,Promotion of Cooperative Banks Reforms,Engaged in parliamentary debates advocating for reforms in the cooperative banking sector to improve their governance and financial health.,,,,"{'name': 'Social News XYZ', 'icon': 'https://lh3.googleusercontent.com/NJa66MiYmKNIavlxIbLX3Y7h0mtC1-CjWtFvpMZLuTl-2QTnp-hnXKIBh42Vmy-WOb_lt074Ug'}",,,
Amit Shah,"Amit Shah Slams 'Congress-NC Alliance' In J&K, Raises 10 Questions; Opposition Reacts",,"08/24/2024, 02:55 AM, +0000 UTC",https://www.news18.com/politics/amit-shah-slams-congress-nc-alliance-in-j-opposition-reacts-9025680.html,positive,Support for National Health Mission,"Participated in discussions on policies and budget allocations for the National Health Mission, focusing on improving healthcare access across India.",,,,"{'name': 'News18', 'icon': 'https://lh3.googleusercontent.com/il1YSB76BhyDivyobuHU_Tex2qT9kypjY1Zf2XNd6OUJoCzvNz25AMPkJP91myo6enzhhkpRxg', 'authors': ['Aditi Ray Chowdhury']}",,,
Amit Shah,"RSS chief Mohan Bhagwat's security upgraded from Z+ plus to ASL level, on par with Amit Shah",,"08/28/2024, 10:47 AM, +0000 UTC",https://www.indiatvnews.com/news/india/rss-chief-mohan-bhagwat-s-security-upgraded-from-z-plus-to-asl-level-on-par-with-amit-shah-latest-updates-2024-08-28-949187,positive,Advocacy for Strengthening Disaster Resilience,"Supported legislation aimed at improving India's disaster resilience, particularly in disaster-prone areas, through better planning and resource allocation.",,,,"{'name': 'India TV News', 'icon': 'https://lh3.googleusercontent.com/OVqng4wcwcfJNUJSl702U0HdHxScvqzKnYGqp_jpyjKJNPojel1HOS-5fz7GLLV0MTwjMv42yw', 'authors': ['Arushi Jaiswal']}",,,
Amit Shah,"RSS Chief Mohan Bhagwat's Security Elevated to ASL Level, Matching Amit Shah's Protection",,"08/28/2024, 10:58 AM, +0000 UTC",https://boldnewsonline.com/rss-chief-mohan-bhagwats-security-elevated-to-asl-level-matching-amit-shahs-protection/,neutral,Debates on E-Voting,Engaged in parliamentary discussions regarding the introduction of e-voting systems to increase voter participation and convenience.,,,,"{'name': 'Bold News', 'icon': 'https://lh3.googleusercontent.com/IIy-Q-Ylz7vWfTIY--sHC4AQut2yJ1LNhxmS5ulfodFsX4bHnoLzUWoiGH9PFtcD0LZ_cdtKYw'}",,,
Amit Shah,"Amit Shah attacks Congress over alliance with NC for J-K Assembly polls, asks 10 questions to Rahul Gandhi",,"08/23/2024, 03:24 PM, +0000 UTC",https://www.indiatvnews.com/news/india/amit-shah-asks-10-questions-to-rahul-gandhi-attacks-congress-over-alliance-with-national-conference-for-jammu-and-kashmir-assembly-polls-2024-08-23-948416,positive,Support for Atmanirbhar Bharat Initiative,"Contributed to discussions and policy formulation aimed at promoting self-reliance across various sectors, including defense and manufacturing.",,,,"{'name': 'India TV News', 'icon': 'https://lh3.googleusercontent.com/OVqng4wcwcfJNUJSl702U0HdHxScvqzKnYGqp_jpyjKJNPojel1HOS-5fz7GLLV0MTwjMv42yw', 'authors': ['Anurag Roushan']}",,,
Amit Shah,"""Blatant endorsement of revenge politics"": Sukanta Majumdar writes to Amit Shah on Bengal CM's remarks",,"08/28/2024, 05:32 PM, +0000 UTC",https://www.aninews.in/news/national/general-news/blatant-endorsement-of-revenge-politics-sukanta-majumdar-writes-to-amit-shah-on-bengal-cms-remarks20240828230253,neutral,Legislation on National Security Surveillance,Advocated for laws that expand and regulate national security surveillance to protect against both internal and external threats.,,,,"{'name': 'ANI News', 'icon': 'https://lh3.googleusercontent.com/isQqiT1LNqTgHHmSYcPDlqF4LvBdJyqpdxt3U9fn-yMrtkszc11l2LFqaVbf60OF9rE9CVkC'}",,,
Amit Shah,"Champai Soren meets Amit Shah, to join BJP on August 30",,"08/27/2024, 02:36 AM, +0000 UTC",https://www.tribuneindia.com/news/india/champai-meets-shah-to-join-bjp-on-august-30/,positive,Participation in Debate on Prison Reforms,"Supported the discussion and introduction of legislation aimed at reforming IndiaÂs prison system, focusing on rehabilitation and human rights.",,,,"{'name': 'The Tribune India', 'icon': 'https://lh3.googleusercontent.com/InthoO-N7kTwYlzIGRKhiyr8hH7YoMFSFzszQZQI8B7wYABI8oebHMGOIogRK1BTiQgCxxn7uGc', 'authors': ['Aditi Tandon']}",,,
Amit Shah,"PM Modi to lead BJPÃ¢ÂÂs poll campaign in J&K; Amit Shah, Yogi among other star campaigners",,"08/26/2024, 04:38 PM, +0000 UTC",https://www.deccanchronicle.com/nation/politics/pm-modi-to-lead-bjps-poll-campaign-in-jk-amit-shah-yogi-among-other-star-campaigners-1819177,positive,Support for Skill Development Programs,"Engaged in discussions and legislative initiatives to enhance skill development programs, particularly for the youth, under schemes like Pradhan Mantri Kaushal Vikas Yojana (PMKVY).",,,,"{'name': 'Deccan Chronicle', 'icon': 'https://lh3.googleusercontent.com/XNuLm0EH8BSyBQHj3ns30d41UkLpIlC3WlJMox8UtPICtp85LWzNpbANh6OEqo1cQ0xDDaZC', 'authors': ['Yusuf Jameel']}",,,
Amit Shah,Jay Shah: From politician's son to carving his own identity to now ICC president,,"08/28/2024, 05:45 AM, +0000 UTC",https://www.firstpost.com/firstcricket/sports-news/jay-shah-from-amit-shahs-son-to-carving-his-own-identity-to-now-icc-president-13808930.html,positive,Debate on Anti-Conversion Laws,Participated in parliamentary debates on the introduction and enforcement of anti-conversion laws aimed at preventing forced or fraudulent religious conversions.,,,,"{'name': 'Firstpost', 'icon': 'https://lh3.googleusercontent.com/k7siJQMJMgu5AcfU4N_7C-2cg_j4eaVTGnPnICIsOALqS7pM3U2ZwsNrGrNdCGabqa6ZzPVb'}",,,
Amit Shah,"Ã¢ÂÂHe likes scaring peopleÃ¢ÂÂ: how ModiÃ¢ÂÂs right-hand man, Amit Shah, runs India Ã¢ÂÂ podcast",,"05/27/2024, 07:00 AM, +0000 UTC",https://www.theguardian.com/news/audio/2024/may/27/he-likes-scaring-people-how-modis-right-hand-man-amit-shah-runs-india-podcast,positive,Support for Ayushman Bharat Scheme,"Contributed to discussions on the implementation and expansion of Ayushman Bharat, a health insurance scheme aimed at providing coverage to economically weaker sections.",,,,"{'name': 'The Guardian', 'icon': 'https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw', 'authors': ['Ellie Bury', 'Atul Dev']}",,,
Amit Shah,Bangladesh Hindus now 9% due to forced conversions: Amit Shah,,"08/19/2024, 07:00 AM, +0000 UTC",https://timesofindia.indiatimes.com/india/bangladesh-hindus-now-9-due-to-forced-conversions-amit-shah/articleshow/112612334.cms,positive,Advocacy for Water Conservation Policies,"Supported legislation and policy initiatives focused on water conservation, management, and the rejuvenation of water bodies across India.",,,,"{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE'}",,,
Amit Shah,"India can be free of Left-Wing Extremism by 2026, says Amit Shah after Day 1 of anti-Naxal review meet",,"08/24/2024, 01:31 PM, +0000 UTC",https://m.economictimes.com/news/india/strong-ruthless-strategy-required-for-launching-last-assault-against-naxals-says-amit-shah-after-raipur-anti-naxal-review-meet/articleshow/112766098.cms,positive,Repeal of Article 35A,"Supported the repeal of Article 35A along with Article 370, which granted special privileges to Jammu and Kashmir residents.",,,,"{'name': 'The Economic Times', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}",,,
Amit Shah,"Centre set to create five new districts in Ladakh, says Amit Shah",,"08/26/2024, 06:44 AM, +0000 UTC",https://www.business-standard.com/india-news/centre-set-to-create-five-new-districts-in-ladakh-says-amit-shah-124082600238_1.html,neutral,"Advocacy for One Nation, One Election",Advocated for simultaneous elections for the Lok Sabha and state assemblies to reduce election-related expenses and disruptions.,,,,"{'name': 'Business Standard', 'icon': 'https://lh3.googleusercontent.com/AT8iZRL6eUcqE6QveDcDvxkWRmUmyT_OzkkVmZ20YRlylJqSMypckPekPjhINXiSTA47GzKicg'}",,,
Amit Shah,"Amit Shah to visit Bureau of Police Research, deliver lecture on new criminal laws",,"08/27/2024, 08:20 AM, +0000 UTC",https://theprint.in/india/amit-shah-to-visit-bureau-of-police-research-deliver-lecture-on-new-criminal-laws/2240262/,positive,Committee on Welfare of Scheduled Castes and Scheduled Tribes,Actively participated in overseeing issues related to SC/ST communities and affirmative action policies.,,,,"{'name': 'ThePrint', 'icon': 'https://lh3.googleusercontent.com/haO6a652o2FAsyhyEPHevk4BGBw8m-El3DJNqMgwfIPjKF7TWXmhK-FXZzl-tqD9sH6nci6bYA'}",,,
Amit Shah,Home Minister Amit Shah announces creation of five new districts in Ladakh,,"08/26/2024, 12:46 PM, +0000 UTC",https://myind.net/Home/viewArticle/home-minister-amit-shah-announces-creation-of-five-new-districts-in-ladakh,positive,"National Investigation Agency (Amendment) Act, 2019","Supported empowering the NIA with additional powers to investigate crimes related to human trafficking, cyber-terrorism, and explosives.",,,,"{'name': 'MyIndMakers', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://myind.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}",,,
Amit Shah,"Ladakh gets 5 new districts: Ã¢ÂÂWill now receive focused attention,Ã¢ÂÂ says PM Modi | Today News",,"08/26/2024, 06:49 AM, +0000 UTC",https://www.livemint.com/news/india/amit-shah-announces-creation-of-five-new-districts-in-ladakh-move-to-create-more-opportunities-says-the-home-minister-11724652722376.html,positive,"The Jammu and Kashmir Reorganisation (Amendment) Act, 2021",Played a key role in passing amendments for the governance of Jammu & Kashmir and Ladakh Union Territories.,,,,"{'name': 'Mint', 'icon': 'https://lh3.googleusercontent.com/JufTzTMu9l6RFyXEEfl6ZPdS7xjYhoSXVmDHURyphjVSNK2zH8uWdyJKd9gg0YOYUCop4Alylis', 'authors': ['Sudeshna Ghoshal']}",,,
Amit Shah,"J&K Assembly Polls: PM Modi-led campaign to feature Amit Shah, Rajnath Singh, Yogi Adityanath, and more",,"08/26/2024, 11:56 AM, +0000 UTC",https://m.economictimes.com/news/elections/assembly-elections/jammu-kashmir/jk-assembly-polls-pm-modi-led-campaign-to-feature-amit-shah-rajnath-singh-yogi-adityanath-and-more/articleshow/112809668.cms,positive,Discussion on Anti-Corruption Laws,Advocated for stricter anti-corruption laws and reforms in the Prevention of Corruption Act for better transparency and accountability.,,,,"{'name': 'The Economic Times', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}",,,
Amit Shah,Amit Shah calls for ruthless action against drugs syndicate,,"07/18/2024, 07:00 AM, +0000 UTC",https://www.thehindu.com/news/national/amit-shah-calls-for-ruthless-action-against-drugs-syndicate/article68418914.ece,positive,Legislation on Counterfeit Currency,"Contributed to laws aimed at combating counterfeit currency, especially from cross-border sources.",,,,"{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8'}",,,
Amit Shah,Amit Shah vs Yogi: the battle for ModiÃ¢ÂÂs legacy,,"05/23/2024, 07:00 AM, +0000 UTC",https://asiatimes.com/2024/05/amit-shah-vs-yogi-the-battle-for-modis-legacy/,positive,Strengthening Cooperative Federalism,Promoted cooperative federalism to ensure states have a stronger role in national development and governance.,,,,"{'name': 'Asia Times', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://asiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Ravi Kant']}",,,
Amit Shah,Amit Shah terms Congress-NC pre-poll alliance unholy,,"08/24/2024, 12:15 AM, +0000 UTC",https://www.greaterkashmir.com/front-page-2/amit-shah-terms-congress-nc-pre-poll-alliance-unholy/,neutral,Role in the Passage of the Triple Talaq Bill,"Supported the Muslim Women (Protection of Rights on Marriage) Act, 2019, criminalizing the practice of instant triple talaq.",,,,"{'name': 'Greater Kashmir', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.greaterkashmir.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}",,,
Amit Shah,Ã¢ÂÂAmit Shah and I played cricket and marbles hereÃ¢ÂÂ,,"05/02/2024, 07:00 AM, +0000 UTC",https://www.bbc.com/news/av/world-asia-india-68945425,positive,Discussion on National Population Register (NPR),Participated in debates about NPR implementation as a step towards a comprehensive national database.,,,,"{'name': 'BBC.com', 'icon': 'https://lh3.googleusercontent.com/_XS8V0jvDj-pe4NDxsc_8_YEk38hNH30ocGDk7oEwtRZNw-kUUuQouAYLFO0uIPFLX05QCKyoSo'}",,,
